Code,MainCost,Debt,AverageConsume,Target
11104374,148773,344971,5.869565217,Low
11145696,804525,1192966,19.2,Moderate
11155811,144571,0,7.058823529,Low
11113175,612258,315586,17.30769231,Low
11139356,531171,786325,20.95238095,Moderate
11142164,1537513,837958,23.33333333,High
11105606,229466,243108,8.076923077,Low
1124789,218541,0,6.842105263,Low
11109737,123437,0,0.576923077,Low
116304,902567,259489,13.63636364,Low
1139404,768391,0,15.88235294,Low
11106168,153276,0,3.888888889,Low
1151375,297266,0,10.0,Low
1121905,2995225,0,29.375,High
1128233,0,193340,0.588235294,Low
1181692,0,1975274,18.63157895,Moderate
1175339,203018,0,6.666666667,Low
1175338,126000,0,0.0,Low
1194239,0,0,11.05263158,Low
11509,203018,0,6.666666667,Low
1135024,736439,0,25.10204082,High
11118320,128333,1717276,0.0,Low
1111427,1187256,0,22.04081633,High
1122331,3275352,0,26.17021277,High
1181621,222871,0,0.740740741,Low
1144059,186591,0,6.6,Low
11154561,5204615,0,36.83168317,High
11103216,162372,0,1.578947368,Low
1134236,263523,0,9.795918367,Low
1189428,1183608,255925,22.34042553,High
11106512,159399,1878298,4.528301887,Moderate
11153373,768759,0,18.76404494,Low
112161,339342,1406819,18.33333333,Moderate
11146174,1199970,616866,19.03846154,Low
11140244,759015,0,15.57692308,Low
11113132,649301,0,15.68181818,Low
11122224,425047,0,14.375,Low
11144347,245401,126037,9.0,Low
11134782,119980,831794,4.5,Low
1141961,152756,0,6.585365854,Low
11159093,142513,113931,1.176470588,Low
1163052,3689046,0,34.61538462,High
1160931,475414,1888446,8.055555556,Moderate
1174589,3275352,0,26.17021277,High
11129281,462730,0,14.42307692,Low
1191269,2703540,21912,24.21052632,High
1143957,183274,1184437,4.038461538,Low
1166220,3764649,0,26.53846154,High
1116135,740568,464697,18.46153846,Low
11118321,315566,0,10.36363636,Low
1169903,2503606,741362,28.60465116,High
1121164,551579,0,12.69230769,Low
11104246,130038,153620,2.608695652,Low
1182502,909624,541905,18.40909091,Low
1164368,4075779,0,30.78947368,High
1120319,531171,443362,20.95238095,Low
11142983,0,0,20.9375,Low
11152555,229466,0,8.076923077,Low
1154633,199905,0,13.46938776,Low
1172435,122424,0,3.0,Low
11144429,487066,0,15.95744681,Low
11106319,84000,380615,0.0,Low
11154437,515043,0,23.07692308,High
117929,296545,302881,9.818181818,Low
1136245,891600,705192,24.23076923,High
1182255,4155546,0,29.31818182,High
11101413,4957239,0,29.42307692,High
1172507,572729,2370371,15.2173913,Moderate
11113128,135983,479688,2.727272727,Low
11102995,340389,0,11.53846154,Low
1120291,575255,0,17.5,Low
1111029,656401,0,17.45454545,Low
119985,3497507,0,26.80851064,High
1154575,1433229,134079,33.91304348,High
