Code,MainCost,Debt,AverageConsume,Target
1137123,1458877,0,36.52173913,High
118508,448491,0,24.13043478,High
11136388,386952,320941,22.34042553,Low
11145218,0,304920,10.0,Low
1135964,513414,0,11.4893617,Low
11108617,109173,136994,0.652173913,Low
1177733,813289,0,21.52173913,High
1129840,3130238,0,33.91304348,High
1149944,411472,0,13.04347826,Low
1179709,160467,1601324,4.565217391,Moderate
1196133,228403,0,7.826086957,Low
11135837,113242,0,2.553191489,Low
1151194,165753,149967,11.68421053,Low
1134886,813510,0,29.36170213,High
11136831,460662,0,24.66666667,High
1135068,715737,0,28.04347826,High
11149669,109667,344866,0.0,Low
1178142,120195,4738,3.260869565,Low
11140940,164032,1002507,13.04347826,Moderate
11137737,135819,617013,9.130434783,Low
11149193,0,0,0.0,Low
11148632,154931,151684,11.4893617,Low
11149270,288188,0,10.22727273,Low
11144237,1875713,0,2.553191489,Low
1134754,623035,0,26.17021277,High
11114797,107333,99311,0.0,Low
1178234,274502,451825,12.39130435,Low
1178448,228403,0,7.826086957,Low
1188696,3687695,0,30.65217391,High
11112032,4231292,313195,25.625,High
11137736,285841,324971,19.56521739,Low
11115793,274502,184137,12.39130435,Low
1138784,148681,0,11.08695652,Low
1186332,601285,1177811,16.59574468,Moderate
1199699,1522401,0,37.17391304,High
1123104,1212548,0,35.2173913,High
1119272,226281,0,10.43478261,Low
11135804,209274,147507,17.5862069,Low
1126488,311241,494479,13.69565217,Low
11139658,135819,305242,9.130434783,Low
11137749,1062737,0,33.26086957,High
1196166,226281,0,10.43478261,Low
116250,138105,0,5.217391304,Low
116265,1032238,0,23.47826087,High
1179707,883319,0,22.17391304,High
11137778,396884,325509,22.82608696,Low
1166277,246281,0,8.47826087,Low
1147679,222003,150549,14.84210526,Low
1166285,286327,0,9.782608696,Low
1144088,791486,0,16.30434783,Low
1150202,226143,846230,10.21276596,Low
11108032,198726,0,9.130434783,Low
1134832,290867,0,12.76595745,Low
117246,319441,0,20.42553191,Low
1166317,815369,0,18.91304348,Low
1138329,285841,0,19.56521739,Low
1134936,144298,282094,10.0,Low
1143751,411466,697230,22.9787234,Moderate
116251,1067243,0,7.418772563,Low
11136094,588443,504438,25.53191489,High
11109457,408113,0,12.76595745,Low
11136234,677731,325348,27.39130435,High
11145136,131935,678299,2.727272727,Low
1196130,151171,0,3.913043478,Low
1110827,235466,757111,0.652173913,Low
11142327,148681,141636,11.08695652,Low
1114926,695722,967925,27.44680851,High
1111179,279460,0,19.14893617,Low
1166310,246281,0,8.47826087,Low
11124739,1084302,0,8.604651163,Low
1128837,658794,962456,26.80851064,High
11152187,715737,0,28.04347826,High
11152205,1176031,312646,18.125,Low
1166292,286327,2687,9.782608696,Low
11140896,438745,0,17.23404255,Low
11147714,266714,274481,18.91304348,Low
11132587,273338,328350,12.12765957,Low
1138936,1604796,0,37.65957447,High
11143123,327177,314670,20.86956522,Low
11137751,2942111,150196,37.57894737,High
11137775,157909,1399342,10.85106383,Moderate
116268,212044,0,9.782608696,Low
11104191,1987693,0,28.08510638,High
11113240,1987693,0,28.08510638,High
1170399,116061,701560,2.608695652,Low
11142386,1062737,1017088,33.26086957,High
11105051,128853,1154405,0.638297872,Low
1199238,703847,0,7.872340426,Low
11143874,132085,117197,8.47826087,Low
11101423,126743,0,0.0,Low
11137763,605298,543640,26.08695652,High
11140939,677731,574200,27.39130435,High
1166335,286327,0,9.782608696,Low
1166313,471542,0,14.34782609,Low
11116288,746211,606071,20.86956522,Low
1112407,2056406,0,28.69565217,High
11137773,327177,0,20.86956522,Low
11126846,466904,0,14.04255319,Low
11139319,968829,325414,31.95652174,High
116249,562695,0,18.91304348,Low
1134552,1904176,0,18.19148936,High
1179935,125246,134654,3.913043478,Low
11126849,307327,0,10.21276596,Low
11143798,850458,690058,21.70212766,Moderate
116266,145912,0,5.869565217,Low
1149773,570871,0,25.43478261,High
11145165,3032938,0,34.09090909,High
11116460,2701272,0,31.95652174,High
11137757,169702,0,13.69565217,Low
11103227,212841,0,7.021276596,Low
1135069,1458877,0,36.52173913,High
11105115,187038,0,8.29787234,Low
11149091,266507,0,9.545454545,Low
1134627,191619,437080,13.08510638,Low
116238,311241,0,13.69565217,Low
1182615,209290,667745,7.857142857,Low
11137755,119915,124377,5.869565217,Low
11129054,813289,0,21.52173913,High
11139415,176588,369226,14.04255319,Low
11139547,142650,385194,10.10526316,Low
11138886,153350,0,3.829787234,Low
1129591,257509,0,11.73913043,Low
11137603,1264871,0,35.86956522,High
11126847,779031,0,18.5106383,Low
1134566,391999,0,15.95744681,Low
11132715,107333,387953,0.0,Low
1178141,107333,212905,0.0,Low
11124165,498400,488820,14.68085106,Low
1119564,814678,1309315,16.63043478,Moderate
11150247,184264,10132,9.285714286,Low
1137885,733817,0,28.08510638,High
1134183,198726,798378,9.130434783,Low
1166311,503722,0,15.0,Low
1166274,145912,0,5.869565217,Low
11136247,181872,134479,15.0,Low
117825,1333593,1725939,19.28571429,Moderate
11137863,130396,150712,9.157894737,Low
1179938,186326,329436,8.47826087,Low
11136412,122543,137844,6.52173913,Low
1146202,145727,0,10.21276596,Low
11136214,173887,1650884,13.75,Moderate
1194400,149527,2946279,18.0,Moderate
11149090,362202,0,12.27272727,Low
1134981,78365,0,2.526315789,Low
11117424,601285,1429213,16.59574468,Moderate
11139507,422174,1318187,23.47826087,Moderate
1134743,783998,0,15.95744681,Low
11137706,187038,0,8.29787234,Low
1129548,226281,0,10.43478261,Low
1134218,199174,510121,8.936170213,Low
11121556,1418991,0,22.82608696,High
1195360,744838,0,3.191489362,Low
116246,956302,0,22.82608696,High
11137750,209531,753439,17.60869565,Moderate
1198157,290867,578260,12.76595745,Low
11143539,348850,0,14.68085106,Low
11156692,109667,0,0.0,Low
11137740,150242,1407520,15.0,Moderate
1134755,411466,0,22.9787234,High
1148029,640918,731013,26.73913043,High
1193102,2751020,0,31.91489362,High
1166308,124047,120331,0.0,Low
11100096,891582,0,5.608695652,Low
1198011,363443,357641,21.70212766,Low
11139657,243869,0,5.368421053,Low
11137841,182679,633636,14.68085106,Low
1198378,265333,0,8.936170213,Low
1111427,539730,0,18.5106383,Low
118777,266714,0,18.91304348,Low
11121394,1263891,0,25.29411765,High
11143317,1872475,1391874,27.44680851,High
11142328,349386,348080,21.52173913,Low
1199045,1071575,0,23.61702128,High
11131098,2097070,0,42.12765957,High
1146307,795329,0,29.34782609,High
1178020,109173,2214131,0.652173913,Moderate
1146128,366071,0,18.31578947,Low
11132659,330989,384903,14.34782609,Low
11120835,2840757,0,32.60869565,High
1166307,124047,259910,0.0,Low
11140582,141228,1252914,10.0,Moderate
1166322,351655,212424,15.0,Low
11111966,273338,0,12.12765957,Low
11137777,82182,0,3.473684211,Low
11151492,2738669,0,33.65853659,High
1136895,442000,694628,0.0,Low
11153499,132085,94378,8.47826087,Low
116255,395743,0,16.30434783,Low
1166321,151171,0,3.913043478,Low
1166332,151171,0,3.913043478,Low
11137780,349386,0,21.52173913,Low
11136386,291646,150325,18.0,Low
11140975,141228,726322,10.0,Low
11131050,186646,150602,12.94736842,Low
1190065,438745,429882,17.23404255,Low
1136872,677731,440966,27.39130435,High
1120264,241436,0,11.08695652,Low
1194088,380817,229829,12.12765957,Low
1178449,246281,0,8.47826087,Low
118552,558523,0,15.43478261,Low
116242,125246,530970,3.913043478,Low
1189190,535167,0,27.39130435,High
1186334,162448,0,4.468085106,Low
1134796,1604796,0,37.65957447,High
1126799,2142628,772379,23.80434783,High
1140624,513414,0,11.4893617,Low
11146050,175801,0,7.659574468,Low
1135550,3891738,0,36.52173913,High
1198156,273338,358944,12.12765957,Low
1112875,1822988,0,27.39130435,High
11479,442000,155785,0.0,Low
11149988,164032,284849,13.04347826,Low
11116754,3433736,0,35.2173913,High
1178144,257509,484081,11.73913043,Low
11133785,4174469,0,31.91489362,High
11137766,209531,190753,17.60869565,Low
11101278,76490,150407,1.894736842,Low
1166320,308496,0,10.43478261,Low
11146051,921274,0,22.34042553,High
1116028,850458,0,21.70212766,High
11106768,139352,0,2.553191489,Low
1134888,658794,0,26.80851064,High
1138938,1791059,0,39.7826087,High
1199483,112875,0,1.276595745,Low
11158512,460662,1025446,24.66666667,Moderate
11135923,1540172,0,37.0212766,High
1138785,1212548,0,35.2173913,High
11156526,3170551,230495,22.16326531,High
1155256,1670845,7927,38.29787234,High
11130700,2100723,312407,21.25,High
116945,665161,0,1.102941176,Low
11100249,309296,567155,13.40425532,Low
1180899,1603585,0,26.08695652,High
1147688,475836,115635,24.7826087,High
1155838,165463,1710687,7.021276596,Moderate
11149668,109667,0,0.0,Low
11145167,111669,0,2.727272727,Low
11139315,754936,2110764,28.69565217,Moderate
1114562,813510,0,29.36170213,High
1178147,1032238,0,23.47826087,High
11121573,354920,1751207,11.4893617,Moderate
11106774,865598,0,19.14893617,Low
1135043,879692,0,30.65217391,High
11137752,181872,522621,15.0,Low
1134636,1547396,0,25.53191489,High
11123299,228939,0,7.659574468,Low
1166273,1199831,0,21.52173913,High
1146972,677731,1437435,27.39130435,Moderate
1124937,712499,478740,23.36842105,High
1147937,158638,131401,12.39130435,Low
1191859,815369,0,18.91304348,Low
1177022,164282,0,7.173913043,Low
1112035,131216,0,4.565217391,Low
1166284,572373,165110,16.30434783,Low
1115309,883319,911923,22.17391304,Moderate
11145166,105907,0,1.363636364,Low
1113277,413803,0,2.578125,Low
1178017,131216,115579,4.565217391,Low
1178528,138105,0,5.217391304,Low
1111535,1499139,0,25.43478261,High
1126573,746211,0,20.86956522,Low
1178003,145912,805221,5.869565217,Low
1166280,904752,893192,19.56521739,Moderate
1133069,1499139,143489,25.43478261,High
11136422,1111481,1411626,33.91304348,High
1166331,904752,0,19.56521739,Low
11119808,3662717,1264597,25.0,High
1193431,380817,698583,12.12765957,Low
118828,5220591,0,40.85106383,High
1190066,175801,0,7.659574468,Low
1139900,170768,0,13.40425532,Low
11141166,369975,0,15.31914894,Low
1131554,2022469,0,41.4893617,High
11103081,1477241,2813506,22.9787234,Moderate
